lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
200,0,90.95,8,29,4,3,1,0,0,0
79,1,90.95,3,24,4,3,1,0,0,0
78,1,99.45,4,6,4,4,1,0,3,1
61,0,91.0,10,4,3,0,2,0,0,1
201,3,82.28,11,1,4,4,0,0,0,1
12,0,171.0,2,3,4,2,0,0,5,0
8,0,85.0,2,16,4,1,0,0,0,1
301,0,90.0,7,30,3,1,1,1,0,1
63,1,130.0,5,16,2,2,1,0,0,0
57,1,90.67,6,10,3,2,1,0,0,1
151,0,200.0,6,27,3,0,1,0,4,0
39,0,116.1,5,12,4,3,1,3,0,0
1,1,139.0,7,4,4,1,1,3,0,1
138,0,72.5,8,22,3,1,2,1,0,1
82,1,59.85,10,30,4,2,2,3,0,1
1,0,95.65,8,23,4,2,0,3,3,1
44,0,75.0,2,17,3,3,0,0,0,1
27,2,145.28,3,28,4,3,1,0,0,1
64,1,99.3,4,17,4,1,2,0,0,1
276,0,116.33,9,22,3,3,0,0,0,0
0,1,65.0,11,21,2,0,1,0,0,1
146,2,166.5,10,19,4,4,1,1,3,1
33,0,64.0,1,25,2,2,1,0,0,1
117,0,105.3,5,5,4,3,0,0,0,1
91,0,103.5,7,3,4,2,2,3,0,1
39,0,118.0,10,3,4,2,1,0,0,1
53,1,65.75,3,4,4,2,2,3,0,1
49,1,94.5,9,18,4,2,1,0,0,0
0,0,92.0,8,8,4,0,1,3,0,1
7,2,133.83,4,9,4,1,2,0,0,1
87,0,62.18,3,24,4,3,1,3,0,0
35,1,81.9,3,8,4,5,2,0,0,0
19,0,69.0,12,5,4,1,2,0,0,1
22,0,75.0,12,18,2,2,0,0,0,1
7,0,79.0,11,3,2,1,0,0,0,1
168,0,85.0,4,22,3,2,1,0,0,0
61,0,90.0,11,26,3,1,2,0,0,1
39,1,77.5,3,4,4,2,0,0,0,1
132,1,101.58,7,11,4,3,1,0,0,1
129,3,114.75,5,22,4,5,4,0,3,1
1,1,99.0,1,4,4,0,1,0,3,1
21,0,85.0,3,4,4,1,0,0,0,0
18,3,75.0,11,8,2,1,0,0,0,1
111,0,120.0,10,10,3,2,1,0,0,1
159,0,65.0,4,9,3,1,1,0,0,1
103,0,118.8,8,3,4,3,0,0,3,0
107,1,90.0,8,12,4,1,0,0,1,1
115,0,61.0,2,27,3,2,2,0,0,0
73,0,38.67,3,21,3,2,1,0,0,1
258,0,110.0,10,16,3,0,1,0,0,0
7,0,104.0,4,18,4,0,1,0,0,0
7,0,87.0,2,28,3,2,2,0,0,1
44,0,149.4,9,25,4,1,2,0,3,0
6,0,66.3,12,15,4,3,1,3,0,1
78,0,105.3,7,18,4,1,1,0,0,0
3,0,98.0,5,2,2,0,1,0,0,1
65,0,96.3,3,28,4,2,1,0,0,1
209,2,90.95,8,21,4,3,2,0,0,1
0,0,70.0,2,10,2,1,0,0,0,1
320,0,90.0,8,18,3,2,0,1,0,1
22,0,91.0,2,13,4,4,2,0,0,1
104,1,140.4,5,17,4,3,0,0,3,1
272,1,94.35,10,15,4,4,2,0,0,0
24,1,124.0,5,2,4,0,1,3,0,1
0,0,91.0,1,22,4,1,0,0,0,1
17,1,173.67,7,28,4,3,0,0,3,1
18,0,93.0,9,9,4,4,0,3,0,0
33,0,55.0,12,26,3,2,2,0,0,1
72,0,108.0,9,18,3,1,0,1,0,1
21,0,85.0,10,4,3,3,0,0,0,1
61,0,124.8,4,15,4,2,1,0,3,0
256,2,94.35,10,23,4,3,2,0,0,0
110,4,150.45,6,13,4,5,2,0,3,1
5,0,145.0,9,21,4,0,1,0,0,1
29,1,139.0,9,29,4,1,0,0,0,0
6,0,110.0,10,26,0,4,0,0,3,1
42,1,164.33,10,20,4,3,0,0,0,0
0,0,159.0,7,1,4,1,0,0,0,1
5,0,65.0,10,20,2,2,0,0,0,1
31,0,85.0,10,15,3,1,2,0,0,1
256,0,90.0,6,15,3,2,0,1,0,1
147,2,72.25,12,29,4,3,0,0,0,0
167,0,105.3,8,6,4,1,0,0,0,0
11,0,88.5,10,23,3,2,2,0,0,1
3,2,173.5,7,12,4,2,0,0,0,1
1,1,65.0,11,5,3,1,0,0,0,1
111,2,150.45,6,13,4,5,2,0,3,0
3,0,87.2,12,6,3,0,2,0,3,1
54,1,100.2,10,3,4,1,2,0,0,1
12,0,80.8,11,16,4,1,0,0,0,1
20,0,231.5,9,18,4,2,2,0,5,0
23,1,109.0,1,2,3,1,2,1,0,1
20,1,136.0,4,30,4,1,1,0,0,1
31,0,81.5,2,4,2,2,0,0,0,1
37,2,207.9,8,22,4,2,1,0,5,1
305,0,89.0,11,4,3,2,1,0,0,0
172,0,112.32,7,15,4,5,2,0,0,0
72,1,118.8,4,23,4,1,1,0,3,1
87,0,72.25,7,19,3,4,0,0,0,1
2,0,153.8,11,25,3,2,0,0,5,1
61,0,75.0,11,26,3,1,2,0,0,1
40,1,77.55,1,14,4,3,0,0,1,1
37,0,105.0,10,13,3,3,0,0,0,1
1,0,90.0,9,9,2,2,0,0,0,1
213,0,130.0,6,7,3,3,0,0,0,0
61,0,94.5,7,26,4,2,0,3,0,0
1,0,146.0,9,29,2,3,0,1,0,1
118,0,86.0,3,1,3,1,0,0,0,1
113,1,105.3,7,12,4,3,0,0,0,1
14,1,90.0,8,24,4,3,1,0,0,1
96,0,93.96,10,26,4,2,0,0,3,0
87,1,135.27,8,8,4,1,1,0,3,1
39,0,109.0,8,14,3,2,0,1,0,1
190,0,128.92,8,22,4,6,3,1,0,0
106,2,84.58,7,13,3,4,0,0,0,1
140,3,110.19,9,12,4,2,1,0,3,1
9,0,116.04,9,7,3,4,1,1,0,0
28,0,109.0,5,19,2,2,0,0,0,1
62,0,106.88,9,3,4,2,2,0,0,0
240,2,90.95,10,27,4,3,1,0,0,1
138,0,94.5,8,22,3,1,2,1,0,1
0,0,134.0,7,10,4,0,2,3,0,1
386,1,90.0,10,23,3,0,2,1,0,1
61,1,79.2,11,4,4,2,1,3,0,0
10,0,120.0,11,10,4,1,0,0,0,0
51,1,149.4,9,18,4,3,2,0,3,1
77,0,116.1,6,17,4,2,0,3,0,0
193,0,120.0,6,20,3,2,1,0,0,0
1,1,119.0,4,12,4,1,0,3,0,1
86,1,137.7,7,14,4,3,0,0,3,1
154,1,120.7,7,7,4,3,1,0,3,0
87,1,117.9,8,14,4,1,2,0,0,0
80,1,72.07,11,12,4,1,2,0,0,0
300,3,67.5,12,22,4,2,0,3,0,1
259,2,95.85,7,22,4,2,0,0,1,0
197,2,82.45,8,16,3,5,2,0,3,1
3,1,136.0,6,10,4,1,0,0,3,1
60,2,137.7,7,25,4,0,1,0,3,1
52,0,127.8,4,15,4,1,0,0,3,1
26,0,65.0,8,8,2,0,1,0,0,1
7,1,116.8,10,21,4,2,0,3,0,1
14,0,58.0,12,14,3,4,1,0,0,1
26,1,231.0,9,24,4,3,1,0,5,0
